item_id	itemType	expset	condition	social_context	target_context	register_match	grammatical	context_starred	critical_starred	picture1	picture2	picture3	picture4	context_norm	target_norm		
12	critical	WP1	c	low	low	match	yes	Patent trainiert*verklickert*Daniel:	Ich*striegel*gleich*meine Gäule*für den Wettbewerb.	Gaule.jpg	Pferde.jpg	Buxen.jpg	Hosen.jpg	Patent trainiert verklickert Daniel:	Ich striegel gleich meine Gäule für den Wettbewerb.		
13	critical	WP1	c	high	high	match	yes	Außerordentlich präpariert*formuliert*Maria:	Ich*kopiere*später*meine Zeichnung*auf den Computer.	Zeichnung.jpg	Kritzelei.jpg	Fingernaegel.jpg	Klauen.jpg	Außerordentlich präpariert formuliert Maria:	Ich kopiere später meine Zeichnung auf den Computer.		
13	critical	WP1	c	low	low	match	yes	Astrein hergerichtet*plappert*Maria:	Ich*kopiere*später*meine Kritzelei*auf den PC.	Kritzelei.jpg	Zeichnung.jpg	Klauen.jpg	Fingernaegel.jpg	Astrein hergerichtet plappert Maria:	Ich kopiere später meine Kritzelei auf den PC.		
14	critical	WP1	c	high	high	match	yes	Außerordentlich präpariert*formuliert*Maria:	Ich*lackiere*später*meine Fingernägel*für das Rendezvous.	Fingernaegel.jpg	Klauen.jpg	Zeichnung.jpg	Kritzelei.jpg	Außerordentlich präpariert formuliert Maria:	Ich lackiere später meine Fingernägel für das Rendezvous.		
14	critical	WP1	c	low	low	match	yes	Astrein hergerichtet*plappert*Maria:	Ich*lackiere*später*meine Klauen*für das Date.	Klauen.jpg	Fingernaegel.jpg	Kritzelei.jpg	Zeichnung.jpg	Astrein hergerichtet plappert Maria:	Ich lackiere später meine Klauen für das Date.		
15	critical	WP1	c	high	high	match	yes	Feinsinnig veranlagt*verkündet*Robert:	Ich*zünde*jetzt*meinen Feuerwerkskörper*während der Kundgebung.	Feuerwerkskoerper.jpg	Boeller.jpg	Fuehrerschein.jpg	Lappen.jpg	Feinsinnig veranlagt verkündet Robert:	Ich zünde jetzt meinen Feuerwerkskörper während der Kundgebung.		
15	critical	WP1	c	low	low	match	yes	Helle gestrickt*tönt*Robert:	Ich*zünde*jetzt*meinen Böller*während der Demo.	Boeller.jpg	Feuerwerkskoerper.jpg	Lappen.jpg	Fuehrerschein.jpg	Helle gestrickt tönt Robert:	Ich zünde jetzt meinen Böller während der Demo.		
16	critical	WP1	c	high	high	match	yes	Feinsinnig veranlagt*verkündet*Robert:	Ich*beantrage*jetzt*meinen Führerschein*für den Dienst.	Fuehrerschein.jpg	Lappen.jpg	Feuerwerkskoerper.jpg	Boeller.jpg	Feinsinnig veranlagt verkündet Robert:	Ich beantrage jetzt meinen Führerschein für den Dienst.		
16	critical	WP1	c	low	low	match	yes	Helle gestrickt*tönt*Robert:	Ich*beantrage*jetzt*meinen Lappen*für den Job.	Lappen.jpg	Fuehrerschein.jpg	Boeller.jpg	Feuerwerkskoerper.jpg	Helle gestrickt tönt Robert:	Ich beantrage jetzt meinen Lappen für den Job.		
17	critical	WP1	c	high	high	match	yes	Penibelst disponiert*propagiert*Tobias:	Ich*putze*gleich*mein WC*mit dem Putzmittel.	WC.jpg	Klo.jpg	Tier.jpg	Vieh.jpg	Penibelst disponiert propagiert Tobias:	Ich putze gleich mein WC mit dem Putzmittel.		
17	critical	WP1	c	low	low	match	yes	Pingelig getrimmt*schwafelt*Tobias:	Ich*putze*gleich*mein Klo*mit dem Putzzeug.	Klo.jpg	WC.jpg	Vieh.jpg	Tier.jpg	Pingelig getrimmt schwafelt Tobias:	Ich putze gleich mein Klo mit dem Putzzeug.		
18	critical	WP1	c	high	high	match	yes	Penibelst disponiert*propagiert*Tobias:	Ich*füttere*gleich*mein Tier*vor dem Lagerhaus.	Tier.jpg	Vieh.jpg	WC.jpg	Klo.jpg	Penibelst disponiert propagiert Tobias:	Ich füttere gleich mein Tier vor dem Lagerhaus.		
18	critical	WP1	c	low	low	match	yes	Pingelig getrimmt*schwafelt*Tobias:	Ich*füttere*gleich*mein Vieh*vor dem Speicher.	Vieh.jpg	Tier.jpg	Klo.jpg	WC.jpg	Pingelig getrimmt schwafelt Tobias:	Ich füttere gleich mein Vieh vor dem Speicher.		
19	critical	WP1	c	high	high	match	yes	Regsam engagiert*renommiert*Lukas:	Ich*unterschreibe*jetzt*meinen Antrag*während des Treffens.	Antrag.jpg	Wisch.jpg	Champagner.jpg	Schampus.jpg	Regsam engagiert renommiert Lukas:	Ich unterschreibe jetzt meinen Antrag während des Treffens.		
19	critical	WP1	c	low	low	match	yes	Aktiv mit*dabei*protzt*Lukas:	Ich*unterschreibe*jetzt*meinen Wisch*während des Meetings.	Wisch.jpg	Antrag.jpg	Schampus.jpg	Champagner.jpg	Aktiv mit dabei protzt Lukas:	Ich unterschreibe jetzt meinen Wisch während des Meetings.		
20	critical	WP1	c	high	high	match	yes	Regsam engagiert*renommiert*Lukas:	Ich*serviere*jetzt*meinen Champagner*auf der Veranda.	Champagner.jpg	Schampus.jpg	Antrag.jpg	Wisch.jpg	Regsam engagiert renommiert Lukas:	Ich serviere jetzt meinen Champagner auf der Veranda.		
20	critical	WP1	c	low	low	match	yes	Aktiv mit*dabei*protzt*Lukas:	Ich*serviere*jetzt*meinen Schampus*auf der Terrasse.	Schampus.jpg	Champagner.jpg	Wisch.jpg	Antrag.jpg	Aktiv mit dabei protzt Lukas:	Ich serviere jetzt meinen Schampus auf der Terrasse.		
21	critical	WP1	c	high	high	match	yes	Fachkundig instruiert*signalisiert*Florian:	Ich*stähle*jetzt*meinen Bauch*für den Sommerurlaub.	Bauch.jpg	Wanst.jpg	Hund.jpg	Koeter.jpg	Fachkundig instruiert signalisiert Florian:	Ich stähle jetzt meinen Bauch für den Sommerurlaub.		
21	critical	WP1	c	low	low	match	yes	Fix gerüstet plappert*Florian:	Ich*stähle*jetzt*meinen Wanst*für den Sommer.	Wanst.jpg	Bauch.jpg	Koeter.jpg	Hund.jpg	Fix gerüstet plappert Florian:	Ich stähle jetzt meinen Wanst für den Sommer.		
22	critical	WP1	c	high	high	match	yes	Fachkundig instruiert*signalisiert*Florian:	Ich*entwurme*jetzt*meinen Hund*mit der Tablette.	Hund.jpg	Koeter.jpg	Bauch.jpg	Wanst.jpg	Fachkundig instruiert signalisiert Florian:	Ich entwurme jetzt meinen Hund mit der Tablette.		
22	critical	WP1	c	low	low	match	yes	Fix gerüstet*plappert*Florian:	Ich*entwurme*jetzt*meinen Köter*mit der Pille.	Koeter.jpg	Hund.jpg	Wanst.jpg	Bauch.jpg	Fix gerüstet plappert Florian:	Ich entwurme jetzt meinen Köter mit der Pille.		
23	critical	WP1	c	high	high	match	yes	Beflissen arbeitend*kündet*Lars:	Ich*kämme*gleich*meine Haare*nach dem Bad.	Haare.jpg	Maehne.jpg	Flasche.jpg	Pulle.jpg	Beflissen arbeitend kündet Lars:	Ich kämme gleich meine Haare nach dem Bad.		
23	critical	WP1	c	low	low	match	yes	Emsig werkelnd*labert*Lars:	Ich*kämme*gleich*meine Mähne*nach dem Waschen.	Maehne.jpg	Haare.jpg	Pulle.jpg	Flasche.jpg	Emsig werkelnd labert Lars:	Ich kämme gleich meine Mähne nach dem Waschen.		
24	critical	WP1	c	high	high	match	yes	Beflissen arbeitend*kündet*Lars:	Ich*befülle*gleich*meine Flasche*von dem Wasserhahn.	Flasche.jpg	Pulle.jpg	Haare.jpg	Maehne.jpg	Beflissen arbeitend kündet Lars:	Ich befülle gleich meine Flasche von dem Wasserhahn.		
24	critical	WP1	c	low	low	match	yes	Emisg werkelnd*labert*Lars:	Ich*befülle*gleich*meine Pulle*von dem Wasserkran.	Pulle.jpg	Flasche.jpg	Maehne.jpg	Haare.jpg	Emisg werkelnd labert Lars:	Ich befülle gleich meine Pulle von dem Wasserkran.		
25	critical	WP1	c	high	high	match	yes	Unerhört wohlhabend*äußert*Heike:	Ich*pediküre*bald*meine Füße*mit der Mitarbeiterin.	Fuesse.jpg	Mauken.jpg	Residenz.jpg	Bude.jpg	Unerhört wohlhabend äußert Heike:	Ich pediküre bald meine Füße mit der Mitarbeiterin.		
25	critical	WP1	c	low	low	match	yes	Mordsmäßig betucht*brabbelt*Heike:	Ich*pediküre*bald*meine Mauken*mit der Kollegin.	Mauken.jpg	Fuesse.jpg	Bude.jpg	Residenz.jpg	Mordsmäßig betucht brabbelt Heike:	Ich pediküre bald meine Mauken mit der Kollegin.		
26	critical	WP1	c	high	high	match	yes	Unerhört wohlhabend*äußert*Heike:	Ich*verkaufe*bald*meine Residenz*bei der Versteigerung.	Residenz.jpg	Bude.jpg	Fuesse.jpg	Mauken.jpg	Unerhört wohlhabend äußert Heike:	Ich verkaufe bald meine Residenz bei der Versteigerung.		
26	critical	WP1	c	low	low	match	yes	Mordsmäßig betucht*brabbelt*Heike:	Ich*verkaufe*bald*meine Bude*bei der Messe.	Bude.jpg	Residenz.jpg	Mauken.jpg	Fuesse.jpg	Mordsmäßig betucht brabbelt Heike:	Ich verkaufe bald meine Bude bei der Messe.		
27	critical	WP1	c	high	high	match	yes	Meisterlich begabt*stimuliert*Susanna:	Ich*schneidere*jetzt*meine Kleider*von dem Flohmarkt.	Kleider.jpg	Fummel.jpg	Trompete.jpg	Troete.jpg	Meisterlich begabt stimuliert Susanna:	Ich schneidere jetzt meine Kleider von dem Flohmarkt.		
27	critical	WP1	c	low	low	match	yes	Enorm geschickt*schnattert*Susanna:	Ich*schneidere*jetzt*meine Fummel*von dem Trödelmarkt.	Fummel.jpg	Kleider.jpg	Troete.jpg	Trompete.jpg	Enorm geschickt schnattert Susanna:	Ich schneidere jetzt meine Fummel von dem Trödelmarkt.		
28	critical	WP1	c	high	high	match	yes	Meisterlich begabt*stimuliert*Susanna:	Ich*besaite*später*meine Trompete*für den Verehrer.	Trompete.jpg	Troete.jpg	Kleider.jpg	Fummel.jpg	Meisterlich begabt stimuliert Susanna:	Ich besaite später meine Trompete für den Verehrer.		
28	critical	WP1	c	low	low	match	yes	Enorm geschickt*schnattert*Susanna:	Ich*besaite*später*meine Tröte*für den Fan.	Troete.jpg	Trompete.jpg	Fummel.jpg	Kleider.jpg	Enorm geschickt schnattert Susanna:	Ich besaite später meine Tröte für den Fan.		
29	critical	WP1	c	high	high	match	yes	Exzessiv arrogant*intoniert*Annika:	Ich*rauche*bald*meine Zigarre*mit dem Freund.	Zigarre.jpg	Kippe.jpg	Schaenke.jpg	Kneipe.jpg	Exzessiv arrogant intoniert Annika:	Ich rauche bald meine Zigarre mit dem Freund.		
29	critical	WP1	c	low	low	match	yes	Extrem großkotzig*meint*Annika:	Ich*rauche*bald*meine Kippe*mit dem Kumpel.	Kippe.jpg	Zigarre.jpg	Kneipe.jpg	Schaenke.jpg	Extrem großkotzig meint Annika:	Ich rauche bald meine Kippe mit dem Kumpel.		
30	critical	WP1	c	high	high	match	yes	Exzessiv arrogant*intoniert*Annika:	Ich*streiche*bald*meine Schänke*während der Arbeitszeit.	Schaenke.jpg	Kneipe.jpg	Zigarre.jpg	Kippe.jpg	Exzessiv arrogant intoniert Annika:	Ich streiche bald meine Schänke während der Arbeitszeit.		
30	critical	WP1	c	low	low	match	yes	Extrem großkotzig*meint*Annika:	Ich*streiche*bald*meine Kneipe*während der Schicht.	Kneipe.jpg	Schaenke.jpg	Kippe.jpg	Zigarre.jpg	Extrem großkotzig meint Annika:	Ich streiche bald meine Kneipe während der Schicht.		
31	critical	WP1	c	high	high	match	yes	Grandios geschult*prophezeit*Klaus:	Ich*feuer*bald*meine Pistole*für die Probe.	Pistole.jpg	Knarre.jpg	Arznei.jpg	Pillen.jpg	Grandios geschult prophezeit Klaus:	Ich feuer bald meine Pistole für die Probe.		
31	critical	WP1	c	low	low	match	yes	Spitze gedrillt*schnarrt*Klaus:	Ich*feuer*bald*meine Knarre*für die Übung.	Knarre.jpg	Pistole.jpg	Pillen.jpg	Arznei.jpg	Spitze gedrillt schnarrt Klaus:	Ich feuer bald meine Knarre für die Übung.		
32	critical	WP1	c	high	high	match	yes	Grandios geschult*prophezeit*Klaus:	Ich*verschreibe*bald*meine Arznei*auf dem Zettel.	Arznei.jpg	Pillen.jpg	Pistole.jpg	Knarre.jpg	Grandios geschult prophezeit Klaus:	Ich verschreibe bald meine Arznei auf dem Zettel.		
32	critical	WP1	c	low	low	match	yes	Spitze gedrillt*schnarrt*Klaus:	Ich*verschreibe*bald*meine Pillen*auf dem Fetzen.	Pillen.jpg	Arznei.jpg	Knarre.jpg	Pistole.jpg	Spitze gedrillt schnarrt Klaus:	Ich verschreibe bald meine Pillen auf dem Fetzen.		
33	critical	WP1	c	high	high	match	yes	Unermesslich wohlerzogen*frohlockt*Elisabeth:	Ich*lese*später*meine Bücher*von dem Bahnhofladen.	Buecher.jpg	Waelzer.jpg	Erfrischungsgetraenke.jpg	Limos.jpg	Unermesslich wohlerzogen frohlockt Elisabeth:	Ich lese später meine Bücher von dem Bahnhofladen.		
33	critical	WP1	c	low	low	match	yes	Ganz doll wacker*wiehert*Elisabeth:	Ich*lese*später*meine Wälzer*von dem Bahnshop.	Waelzer.jpg	Buecher.jpg	Limos.jpg	Erfrischungsgetraenke.jpg	Ganz doll wacker wiehert Elisabeth:	Ich lese später meine Wälzer von dem Bahnshop.		
34	critical	WP1	c	high	high	match	yes	Unermesslich wohlerzogen*frohlockt*Elisabeth:	Ich*trinke*später*meine Erfrischungsgetränke*in dem Lokal.	Erfrischungsgetraenke.jpg	Limos.jpg	Buecher.jpg	Waelzer.jpg	Unermesslich wohlerzogen frohlockt Elisabeth:	Ich trinke später meine Erfrischungsgetränke in dem Lokal.		
34	critical	WP1	c	low	low	match	yes	Ganz doll wacker*wiehert*Elisabeth:	Ich*trinke*später*meine Limos*in dem Pub.	Limos.jpg	Erfrischungsgetraenke.jpg	Waelzer.jpg	Buecher.jpg	Ganz doll wacker wiehert Elisabeth:	Ich trinke später meine Limos in dem Pub.		
35	critical	WP1	c	high	high	match	yes	Effizient autonom*deklariert*Vera:	Ich*schminke*später*meine Augen*für die Ausstellung.	Augen.jpg	Glubscher.jpg	Lampe.jpg	Funzel.jpg	Effizient autonom deklariert Vera:	Ich schminke später meine Augen für die Ausstellung.		
35	critical	WP1	c	low	low	match	yes	Massiv selbstständig*protzt*Vera:	Ich*schminke*später*meine Glubscher*für die Schau.	Glubscher.jpg	Augen.jpg	Funzel.jpg	Lampe.jpg	Massiv selbstständig protzt Vera:	Ich schminke später meine Glubscher für die Schau.		
36	critical	WP1	c	high	high	match	yes	Effizient autonom*deklariert*Vera:	Ich*montiere*später*meine Lampe*nach der Vorschrift.	Lampe.jpg	Funzel.jpg	Augen.jpg	Glubscher.jpg	Effizient autonom deklariert Vera:	Ich montiere später meine Lampe nach der Vorschrift.		
36	critical	WP1	c	low	low	match	yes	Massiv selbstständig*protzt*Vera:	Ich*montiere*später*meine Funzel*nach der Anweisung.	Funzel.jpg	Lampe.jpg	Glubscher.jpg	Augen.jpg	Massiv selbstständig protzt Vera:	Ich montiere später meine Funzel nach der Anweisung.		
37	critical	WP1	c	high	high	match	yes	Achtsam wohlmeinend*verbalisiert*Norbert:	Ich*wasche*gleich*meine Finger*in dem Waschbecken.	Finger.jpg	Griffel.jpg	Getraenke.jpg	Pluerre.jpg	Achtsam wohlmeinend verbalisiert Norbert:	Ich wasche gleich meine Finger in dem Waschbecken.		
37	critical	WP1	c	low	low	match	yes	Recht zuvorkommend*plauscht*Norbert:	Ich*wasche*gleich*meine Griffel*in dem Spülbecken.	Griffel.jpg	Finger.jpg	Pluerre.jpg	Getraenke.jpg	Recht zuvorkommend plauscht Norbert:	Ich wasche gleich meine Griffel in dem Spülbecken.		
38	critical	WP1	c	high	high	match	yes	Achtsam wohlmeinend*verbalisiert*Norbert:	Ich*verschütte*gleich*meine Getränke*auf den Tischläufer.	Getraenke.jpg	Pluerre.jpg	Finger.jpg	Griffel.jpg	Achtsam wohlmeinend verbalisiert Norbert:	Ich verschütte gleich meine Getränke auf den Tischläufer.		
38	critical	WP1	c	low	low	match	yes	Recht zuvorkommend*plauscht*Norbert:	Ich*verschütte*gleich*meine Plürre*auf den Stofffetzen.	Pluerre.jpg	Getraenke.jpg	Griffel.jpg	Finger.jpg	Recht zuvorkommend plauscht Norbert:	Ich verschütte gleich meine Plürre auf den Stofffetzen.		
39	critical	WP1	c	high	high	match	yes	Leger verweilend*ersinnt*Sabine:	Ich*betreibe*jetzt*meine Pension*in der Provinz.	Pension.jpg	Absteige.jpg	Hausschuhe.jpg	Schlappen.jpg	Leger verweilend ersinnt Sabine:	Ich betreibe jetzt meine Pension in der Provinz.		
39	critical	WP1	c	low	low	match	yes	Lässig chillend*quasselt*Sabine:	Ich*betreibe*jetzt*meine Absteige*in der Region.	Absteige.jpg	Pension.jpg	Schlappen.jpg	Hausschuhe.jpg	Lässig chillend quasselt Sabine:	Ich betreibe jetzt meine Absteige in der Region.		
40	critical	WP1	c	high	high	match	yes	Leger verweilend*ersinnt*Sabine:	Ich*trage*jetzt*meine Hausschuhe*auf der Allee.	Hausschuhe.jpg	Schlappen.jpg	Pension.jpg	Absteige.jpg	Leger verweilend ersinnt Sabine:	Ich trage jetzt meine Hausschuhe auf der Allee.		
40	critical	WP1	c	low	low	match	yes	Lässig chillend*quasselt*Sabine:	Ich*trage*jetzt*meine Schlappen*auf der Straße.	Schlappen.jpg	Hausschuhe.jpg	Absteige.jpg	Pension.jpg	Lässig chillend quasselt Sabine:	Ich trage jetzt meine Schlappen auf der Straße.		
