item_id	itemType	expset	condition	social_context	target_context	register_match	grammatical	context_starred	critical_starred	picture1	picture2	picture3	picture4	context_norm	target_norm
3	critical	WP1	c	low	low	match	yes	Schlampig eingestellt*labert*Felix.	Ich*saniere*bald*meine Bruchbude*in der City.	Bruchbude.jpg	Wohnung.jpg	Lauscher.jpg	Ohren.jpg	Schlampig eingestellt labert Felix.	Ich saniere bald meine Bruchbude in der City.
4	critical	WP1	c	low	low	match	yes	Schlampig*eingestellt*labert*Felix.	Ich*pierce*bald*meine Lauscher*in dem Shoppingcenter.	Lauscher.jpg	Ohren.jpg	Bruchbude.jpg	Wohnung.jpg	Schlampig eingestellt labert Felix.	Ich pierce bald meine Lauscher in dem Shoppingcenter.
5	critical	WP1	c	low	low	match	yes	Stark unter Dampf*trötet*Moritz:	Ich*renoviere*später*meine Kammern*in dem Plattenbau.	Kammern.jpg	Gemaecher.jpg	Poette.jpg	Tassen.jpg	Stark unter Dampf trötet Moritz:	Ich renoviere später meine Kammern in dem Plattenbau.
6	critical	WP1	c	low	low	match	yes	Stark unter Dampf*trötet*Moritz:	Ich*töpfere*später*meine Pötte*in dem Studio.	Poette.jpg	Tassen.jpg	Kammern.jpg	Gemaecher.jpg	Stark unter Dampf trötet Moritz:	Ich töpfere später meine Pötte in dem Studio.
7	critical	WP1	c	low	low	match	yes	Quietschfidel gelaunt*twittert*Dennis:	Ich*fahre*jetzt*meine Drahtesel*durch den Kiez.	Drahtesel.jpg	Fahrraeder.jpg	Gruenzeug.jpg	Gemuese.jpg	Quietschfidel gelaunt twittert Dennis:	Ich fahre jetzt meine Drahtesel durch den Kiez.
8	critical	WP1	c	low	low	match	yes	Quietschfidel gelaunt*twittert*Dennis:	Ich*esse*jetzt*mein Grünzeug*von dem Späti.	Gruenzeug.jpg	Gemuese.jpg	Drahtesel.jpg	Fahrraeder.jpg	Quietschfidel gelaunt twittert Dennis:	Ich esse jetzt mein Grünzeug von dem Späti.
9	critical	WP1	c	low	low	match	yes	Massig betucht*schwafelt*Paula:	Ich*verschrotte*bald*meine Karren*neben der Fabrik.	Karren.jpg	Autos.jpg	Stelzen.jpg	Beine.jpg	Massig betucht schwafelt Paula:	Ich verschrotte bald meine Karren neben der Fabrik.
10	critical	WP1	c	low	low	match	yes	Massig betucht*schwafelt*Paula:	Ich*rasiere*bald*meine Stelzen*für die Party.	Stelzen.jpg	Beine.jpg	Karren.jpg	Autos.jpg	Massig betucht schwafelt Paula:	Ich rasiere bald meine Stelzen für die Party.
11	critical	WP1	c	low	low	match	yes	Patent trainiert*verklickert*Daniel:	Ich*bügel*gleich*meine Buxen*während der Tagesschau.	Buxen.jpg	Hosen.jpg	Gaule.jpg	Pferde.jpg	Patent trainiert verklickert Daniel:	Ich bügel gleich meine Buxen während der Tagesschau.
12	critical	WP1	c	low	low	match	yes	Patent trainiert*verklickert*Daniel:	Ich*striegel*gleich*meine Gäule*für den Wettbewerb.	Gaule.jpg	Pferde.jpg	Buxen.jpg	Hosen.jpg	Patent trainiert verklickert Daniel:	Ich striegel gleich meine Gäule für den Wettbewerb.
13	critical	WP1	c	low	low	match	yes	Astrein hergerichtet*plappert*Maria:	Ich*kopiere*später*meine Kritzelei*auf den PC.	Kritzelei.jpg	Zeichnung.jpg	Klauen.jpg	Fingernaegel.jpg	Astrein hergerichtet plappert Maria:	Ich kopiere später meine Kritzelei auf den PC.
14	critical	WP1	c	low	low	match	yes	Astrein hergerichtet*plappert*Maria:	Ich*lackiere*später*meine Klauen*für das Date.	Klauen.jpg	Fingernaegel.jpg	Kritzelei.jpg	Zeichnung.jpg	Astrein hergerichtet plappert Maria:	Ich lackiere später meine Klauen für das Date.
15	critical	WP1	c	low	low	match	yes	Helle gestrickt*tönt*Robert:	Ich*zünde*jetzt*meinen Böller*während der Demo.	Boeller.jpg	Feuerwerkskoerper.jpg	Lappen.jpg	Fuehrerschein.jpg	Helle gestrickt tönt Robert:	Ich zünde jetzt meinen Böller während der Demo.
16	critical	WP1	c	low	low	match	yes	Helle gestrickt*tönt*Robert:	Ich*beantrage*jetzt*meinen Lappen*für den Job.	Lappen.jpg	Fuehrerschein.jpg	Boeller.jpg	Feuerwerkskoerper.jpg	Helle gestrickt tönt Robert:	Ich beantrage jetzt meinen Lappen für den Job.
17	critical	WP1	c	low	low	match	yes	Pingelig getrimmt*schwafelt*Tobias:	Ich*putze*gleich*mein Klo*mit dem Putzzeug.	Klo.jpg	WC.jpg	Vieh.jpg	Tier.jpg	Pingelig getrimmt schwafelt Tobias:	Ich putze gleich mein Klo mit dem Putzzeug.
18	critical	WP1	c	low	low	match	yes	Pingelig getrimmt*schwafelt*Tobias:	Ich*füttere*gleich*mein Vieh*vor dem Speicher.	Vieh.jpg	Tier.jpg	Klo.jpg	WC.jpg	Pingelig getrimmt schwafelt Tobias:	Ich füttere gleich mein Vieh vor dem Speicher.
19	critical	WP1	c	low	low	match	yes	Aktiv mit*dabei*protzt*Lukas:	Ich*unterschreibe*jetzt*meinen Wisch*während des Meetings.	Wisch.jpg	Antrag.jpg	Schampus.jpg	Champagner.jpg	Aktiv mit dabei protzt Lukas:	Ich unterschreibe jetzt meinen Wisch während des Meetings.
20	critical	WP1	c	low	low	match	yes	Aktiv mit*dabei*protzt*Lukas:	Ich*serviere*jetzt*meinen Schampus*auf der Terrasse.	Schampus.jpg	Champagner.jpg	Wisch.jpg	Antrag.jpg	Aktiv mit dabei protzt Lukas:	Ich serviere jetzt meinen Schampus auf der Terrasse.
